"response","feedback","sid","trial_type","age_category","dv_type","age_year"
"Right","None","11-21-16_1.csv","XY.XandY","Children",3,4.25479452054795
"Right","None","11-21-16_1.csv","XY.XorY","Children",3,4.25479452054795
"Wrong","Judgement","11-21-16_1.csv","XY.Z","Children",3,4.25479452054795
"Kinda Right","None","11-21-16_1.csv","XY.X","Children",3,4.25479452054795
"Right","None","11-21-16_1.csv","X.XorY","Children",3,4.25479452054795
"Right","None","11-21-16_1.csv","X.XandY","Children",3,4.25479452054795
"Wrong","None","11-21-16_1.csv","X.Z","Children",3,4.25479452054795
"Kinda Right","None","11-22-16_1.csv","XY.X","Children",3,3.7972602739726
"Wrong","None","11-22-16_1.csv","X.Z","Children",3,3.7972602739726
"Right","None","11-22-16_1.csv","X.X","Children",3,3.7972602739726
"Right","None","11-22-16_1.csv","XY.XorY","Children",3,3.7972602739726
"Right","None","11-22-16_1.csv","XY.XandY","Children",3,3.7972602739726
"Right","None","11-22-16_1.csv","X.XorY","Children",3,3.7972602739726
"Wrong","None","11-22-16_1.csv","X.XandY","Children",3,3.7972602739726
"Wrong","None","11-22-16_1.csv","XY.Z","Children",3,3.7972602739726
"Right","None","11-22-16_1.csv","XY.XorY","Children",3,3.7972602739726
"Right","None","11-22-16_1.csv","X.X","Children",3,3.7972602739726
"Right","None","11-22-16_1.csv","XY.XandY","Children",3,3.7972602739726
"Wrong","None","11-22-16_1.csv","X.Z","Children",3,3.7972602739726
"Wrong","None","11-22-16_1.csv","XY.Z","Children",3,3.7972602739726
"Kinda Right","None","11-22-16_1.csv","XY.X","Children",3,3.7972602739726
"Wrong","None","11-22-16_1.csv","X.XandY","Children",3,3.7972602739726
"Right","None","11-22-16_1.csv","X.XorY","Children",3,3.7972602739726
"Right","Judgement","11-22-16_2.csv","X.X","Children",3,3.7041095890411
"Wrong","Judgement","11-22-16_2.csv","X.Z","Children",3,3.7041095890411
"Kinda Right","Judgement","11-22-16_2.csv","XY.X","Children",3,3.7041095890411
"Wrong","Judgement","11-22-16_2.csv","XY.Z","Children",3,3.7041095890411
"Right","Description","11-22-16_2.csv","XY.XorY","Children",3,3.7041095890411
"Kinda Right","Correction","11-22-16_2.csv","X.XandY","Children",3,3.7041095890411
"Right","Description","11-22-16_2.csv","X.XorY","Children",3,3.7041095890411
"Right","Judgement","11-22-16_2.csv","XY.XandY","Children",3,3.7041095890411
"Kinda Right","Judgement","11-22-16_2.csv","XY.X","Children",3,3.7041095890411
"Right","Judgement","11-22-16_2.csv","X.X","Children",3,3.7041095890411
"Right","Description","11-22-16_2.csv","X.XorY","Children",3,3.7041095890411
"Wrong","Judgement","11-22-16_2.csv","X.Z","Children",3,3.7041095890411
"Kinda Right","Correction","11-22-16_2.csv","X.XandY","Children",3,3.7041095890411
"Right","Judgement","11-22-16_2.csv","XY.XandY","Children",3,3.7041095890411
"Wrong","Judgement","11-22-16_2.csv","XY.Z","Children",3,3.7041095890411
"Right","Description","11-22-16_2.csv","XY.XorY","Children",3,3.7041095890411
"Wrong","None","11-7-16_1.csv","XY.X","Children",3,3.64109589041096
"Wrong","Judgement","11-7-16_1.csv","X.Z","Children",3,3.64109589041096
"Right","None","11-7-16_1.csv","X.X","Children",3,3.64109589041096
"Kinda Right","Judgement","11-7-16_1.csv","XY.XandY","Children",3,3.64109589041096
