"","speaker_role","word","target_child_age_months","speech_act","count","total","rel_freq","ppt"
"1005","Mother","or",66,"other",2,783,0.00255427841634738,2.55427841634738
"1006","Mother","or",66,"question",27,6743,0.00400415245439715,4.00415245439715
"1007","Mother","or",67,"declarative",51,20486,0.00248950502782388,2.48950502782388
"1008","Mother","or",67,"other",1,907,0.00110253583241455,1.10253583241455
"1009","Mother","or",67,"question",38,7554,0.00503044744506222,5.03044744506222
"1010","Mother","or",68,"declarative",15,11246,0.00133380757602703,1.33380757602703
"1011","Mother","or",68,"other",1,368,0.00271739130434783,2.71739130434783
"1012","Mother","or",68,"question",10,3994,0.00250375563345018,2.50375563345018
"1013","Mother","or",69,"declarative",30,15956,0.00188017046878917,1.88017046878917
"1014","Mother","or",69,"imperative",1,767,0.00130378096479791,1.30378096479791
"1015","Mother","or",69,"other",3,760,0.00394736842105263,3.94736842105263
"1016","Mother","or",69,"question",14,5707,0.00245312773786578,2.45312773786578
"1017","Mother","or",70,"declarative",14,9459,0.00148007188920605,1.48007188920605
"1018","Mother","or",70,"imperative",1,546,0.00183150183150183,1.83150183150183
"1019","Mother","or",70,"other",3,442,0.00678733031674208,6.78733031674208
"1020","Mother","or",70,"question",18,3813,0.004720692368214,4.720692368214
"1021","Mother","or",71,"declarative",16,7627,0.00209781041038416,2.09781041038416
"1022","Mother","or",71,"other",1,539,0.00185528756957328,1.85528756957328
"1023","Mother","or",71,"question",18,3962,0.00454316002019182,4.54316002019182
"1024","Mother","other",12,"declarative",17891,18186,0.983778730891895,983.778730891895
"1025","Mother","other",12,"imperative",794,809,0.981458590852905,981.458590852905
"1026","Mother","other",12,"other",734,756,0.970899470899471,970.899470899471
"1027","Mother","other",12,"question",10026,10104,0.992280285035629,992.28028503563
"1028","Mother","other",13,"declarative",14608,14881,0.981654458705732,981.654458705732
"1029","Mother","other",13,"imperative",1989,2014,0.987586891757696,987.586891757696
"1030","Mother","other",13,"other",520,536,0.970149253731343,970.149253731343
"1031","Mother","other",13,"question",8439,8478,0.995399858457183,995.399858457183
"1032","Mother","other",14,"declarative",44530,45188,0.98543861202089,985.43861202089
"1033","Mother","other",14,"imperative",5922,5974,0.991295614328758,991.295614328758
"1034","Mother","other",14,"other",1407,1448,0.971685082872928,971.685082872928
"1035","Mother","other",14,"question",25620,25784,0.993639466335712,993.639466335712
"1036","Mother","other",15,"declarative",27556,28130,0.979594738713118,979.594738713118
"1037","Mother","other",15,"imperative",383,386,0.992227979274611,992.227979274611
"1038","Mother","other",15,"other",1460,1505,0.970099667774086,970.099667774086
"1039","Mother","other",15,"question",10218,10328,0.989349341595662,989.349341595662
"1040","Mother","other",16,"declarative",32871,33516,0.980755460078768,980.755460078768
