"","speaker_role","word","target_child_age_years","speech_act","count"
"599","Father","and",2.51916495550992,"question",8
"600","Father","and",2.52190280629706,"declarative",8
"601","Father","and",2.52190280629706,"question",6
"602","Father","and",2.52737850787132,"declarative",7
"603","Father","and",2.52737850787132,"question",1
"604","Father","and",2.53011635865845,"declarative",18
"605","Father","and",2.53011635865845,"other",1
"606","Father","and",2.53011635865845,"question",22
"607","Father","and",2.53285420944559,"declarative",52
"608","Father","and",2.53285420944559,"imperative",1
"609","Father","and",2.53285420944559,"other",8
"610","Father","and",2.53285420944559,"question",20
"611","Father","and",2.53832991101985,"declarative",4
"612","Father","and",2.53832991101985,"question",3
"613","Father","and",2.54380561259411,"declarative",20
"614","Father","and",2.54380561259411,"other",1
"615","Father","and",2.54380561259411,"question",1
"616","Father","and",2.54654346338125,"declarative",56
"617","Father","and",2.54654346338125,"other",112
"618","Father","and",2.54654346338125,"question",39
"619","Father","and",2.54928131416838,"declarative",6
"620","Father","and",2.54928131416838,"question",1
"621","Father","and",2.55475701574264,"declarative",7
"622","Father","and",2.55475701574264,"question",5
"623","Father","and",2.56023271731691,"declarative",40
"624","Father","and",2.56023271731691,"other",4
"625","Father","and",2.56023271731691,"question",1
"626","Father","and",2.56297056810404,"declarative",26
"627","Father","and",2.56297056810404,"other",5
"628","Father","and",2.56570841889117,"declarative",17
"629","Father","and",2.56570841889117,"other",2
"630","Father","and",2.56570841889117,"question",1
"631","Father","and",2.57392197125257,"declarative",4
"632","Father","and",2.57392197125257,"question",1
"633","Father","and",2.5766598220397,"declarative",79
